id,subjectKey,type,fr_question,en_question,nl_question,de_question
l045_what,legend_045,what,Que sont / qu’est-ce que Strigoi dans le folklore européen ?,What are / what is Strigoi in European folklore?,Wat zijn / wat is Strigoi in de Europese folklore?,Was ist / was sind Strigoi in der europäischen Folklore?
l045_tf,legend_045,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l046_country,legend_046,country,Dans quel pays cette légende est-elle surtout connue : Meșterul Manole ?,In which country is this legend mainly known: Meșterul Manole?,In welk land is deze legende vooral bekend: Meșterul Manole?,In welchem Land ist diese Legende vor allem bekannt: Meșterul Manole?
l046_what,legend_046,what,Que sont / qu’est-ce que Meșterul Manole dans le folklore européen ?,What are / what is Meșterul Manole in European folklore?,Wat zijn / wat is Meșterul Manole in de Europese folklore?,Was ist / was sind Meșterul Manole in der europäischen Folklore?
l046_tf,legend_046,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l047_country,legend_047,country,Dans quel pays cette légende est-elle surtout connue : Juraj Jánošík ?,In which country is this legend mainly known: Juraj Jánošík?,In welk land is deze legende vooral bekend: Juraj Jánošík?,In welchem Land ist diese Legende vor allem bekannt: Juraj Jánošík?
l047_what,legend_047,what,Que sont / qu’est-ce que Juraj Jánošík dans le folklore européen ?,What are / what is Juraj Jánošík in European folklore?,Wat zijn / wat is Juraj Jánošík in de Europese folklore?,Was ist / was sind Juraj Jánošík in der europäischen Folklore?
l047_tf,legend_047,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l048_country,legend_048,country,Dans quel pays cette légende est-elle surtout connue : Le dragon des Tatras ?,In which country is this legend mainly known: The dragon of the Tatras?,In welk land is deze legende vooral bekend: De draak van de Tatra?,In welchem Land ist diese Legende vor allem bekannt: Der Drache der Tatra?
l048_what,legend_048,what,Que sont / qu’est-ce que Le dragon des Tatras dans le folklore européen ?,What are / what is The dragon of the Tatras in European folklore?,Wat zijn / wat is De draak van de Tatra in de Europese folklore?,Was ist / was sind Der Drache der Tatra in der europäischen Folklore?
l048_tf,legend_048,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l049_country,legend_049,country,Dans quel pays cette légende est-elle surtout connue : Zlatorog ?,In which country is this legend mainly known: Zlatorog?,In welk land is deze legende vooral bekend: Zlatorog?,In welchem Land ist diese Legende vor allem bekannt: Zlatorog?
l049_what,legend_049,what,Que sont / qu’est-ce que Zlatorog dans le folklore européen ?,What are / what is Zlatorog in European folklore?,Wat zijn / wat is Zlatorog in de Europese folklore?,Was ist / was sind Zlatorog in der europäischen Folklore?
l049_tf,legend_049,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l050_country,legend_050,country,Dans quel pays cette légende est-elle surtout connue : Kurent ?,In which country is this legend mainly known: Kurent?,In welk land is deze legende vooral bekend: Kurent?,In welchem Land ist diese Legende vor allem bekannt: Kurent?
l050_what,legend_050,what,Que sont / qu’est-ce que Kurent dans le folklore européen ?,What are / what is Kurent in European folklore?,Wat zijn / wat is Kurent in de Europese folklore?,Was ist / was sind Kurent in der europäischen Folklore?
l050_tf,legend_050,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l051_country,legend_051,country,Dans quel pays cette légende est-elle surtout connue : La Santa Compaña ?,In which country is this legend mainly known: La Santa Compaña?,In welk land is deze legende vooral bekend: La Santa Compaña?,In welchem Land ist diese Legende vor allem bekannt: La Santa Compaña?
l051_what,legend_051,what,Que sont / qu’est-ce que La Santa Compaña dans le folklore européen ?,What are / what is La Santa Compaña in European folklore?,Wat zijn / wat is La Santa Compaña in de Europese folklore?,Was ist / was sind La Santa Compaña in der europäischen Folklore?
l051_tf,legend_051,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l052_country,legend_052,country,Dans quel pays cette légende est-elle surtout connue : La Dama de Elche ?,In which country is this legend mainly known: The Lady of Elche?,In welk land is deze legende vooral bekend: De Dame van Elche?,In welchem Land ist diese Legende vor allem bekannt: Die Dame von Elche?
l052_what,legend_052,what,Que sont / qu’est-ce que La Dama de Elche dans le folklore européen ?,What are / what is The Lady of Elche in European folklore?,Wat zijn / wat is De Dame van Elche in de Europese folklore?,Was ist / was sind Die Dame von Elche in der europäischen Folklore?
l052_tf,legend_052,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l053_country,legend_053,country,Dans quel pays cette légende est-elle surtout connue : Näcken ?,In which country is this legend mainly known: Näcken?,In welk land is deze legende vooral bekend: Näcken?,In welchem Land ist diese Legende vor allem bekannt: Näcken?
l053_what,legend_053,what,Que sont / qu’est-ce que Näcken dans le folklore européen ?,What are / what is Näcken in European folklore?,Wat zijn / wat is Näcken in de Europese folklore?,Was ist / was sind Näcken in der europäischen Folklore?
l053_tf,legend_053,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
l054_country,legend_054,country,Dans quel pays cette légende est-elle surtout connue : Tomte ?,In which country is this legend mainly known: Tomte?,In welk land is deze legende vooral bekend: Tomte?,In welchem Land ist diese Legende vor allem bekannt: Tomte?
l054_what,legend_054,what,Que sont / qu’est-ce que Tomte dans le folklore européen ?,What are / what is Tomte in European folklore?,Wat zijn / wat is Tomte in de Europese folklore?,Was ist / was sind Tomte in der europäischen Folklore?
l054_tf,legend_054,truefalse,Cette affirmation est-elle correcte ?,Is this statement correct?,Klopt deze uitspraak?,Ist diese Aussage richtig?
